3.271949887275695801e-01,-9.288859963417053223e-01,3.928229093551635742e+00,0
3.317689895629882812e-01,-9.295359849929809570e-01,3.930979967117309570e+00,0
3.235799968242645264e-01,-9.288010001182556152e-01,3.937072992324829102e+00,0
3.370879888534545898e-01,-9.300529956817626953e-01,3.942379951477050781e+00,0
3.431310057640075684e-01,-9.236980080604553223e-01,3.961837053298950195e+00,0
3.090319931507110596e-01,-9.028559923171997070e-01,3.890887022018432617e+00,0
3.095780014991760254e-01,-8.979899883270263672e-01,3.897764921188354492e+00,0
3.121260106563568115e-01,-8.991219997406005859e-01,3.902678966522216797e+00,0
-8.465830087661743164e-01,-8.841570019721984863e-01,3.865533113479614258e+00,0
-8.372269868850708008e-01,-8.810549974441528320e-01,3.851972103118896484e+00,0
-8.302919864654541016e-01,-8.782230019569396973e-01,3.839590072631835938e+00,0
-8.112409710884094238e-01,-8.714349865913391113e-01,3.809911966323852539e+00,0
-8.084260225296020508e-01,-8.706700205802917480e-01,3.806571006774902344e+00,0
-8.056560158729553223e-01,-8.699510097503662109e-01,3.803426980972290039e+00,0
3.276529908180236816e-01,-8.997560143470764160e-01,3.933732032775878906e+00,0
-9.093419909477233887e-01,-9.173139929771423340e-01,4.020208835601806641e+00,0
-9.049469828605651855e-01,-9.151160120964050293e-01,4.010579109191894531e+00,0
-8.984400033950805664e-01,-9.107660055160522461e-01,3.991514921188354492e+00,0
-8.919529914855957031e-01,-9.064159989356994629e-01,3.972450017929077148e+00,0
-8.861479759216308594e-01,-9.027389883995056152e-01,3.956334114074707031e+00,0
-8.810629844665527344e-01,-8.997790217399597168e-01,3.943361997604370117e+00,0
-8.722910284996032715e-01,-8.952500224113464355e-01,3.923511981964111328e+00,0
-8.682919740676879883e-01,-8.933659791946411133e-01,3.915257930755615234e+00,0
-8.604519963264465332e-01,-8.897340297698974609e-01,3.899338006973266602e+00,0
-8.114079833030700684e-01,-8.695089817047119141e-01,3.810698986053466797e+00,0
2.979939877986907959e-01,-8.869540095329284668e-01,3.887151956558227539e+00,0
3.306019902229309082e-01,-8.996899724006652832e-01,3.942969083786010742e+00,0
-8.094689846038818359e-01,-8.654760122299194336e-01,3.811485052108764648e+00,0
-8.893179893493652344e-01,-8.993859887123107910e-01,3.970484972000122070e+00,0
2.875280082225799561e-01,-8.748109936714172363e-01,3.861994981765747070e+00,0
3.348209857940673828e-01,-8.986290097236633301e-01,3.967144012451171875e+00,0
-8.294420242309570312e-01,-8.689470291137695312e-01,3.845485925674438477e+00,0
-7.817379832267761230e-01,-8.539800047874450684e-01,3.779252052307128906e+00,0
-7.717739939689636230e-01,-8.501200079917907715e-01,3.771390914916992188e+00,0
-8.981750011444091797e-01,-8.994770050048828125e-01,4.000163078308105469e+00,0
-8.407729864120483398e-01,-8.698229789733886719e-01,3.868284940719604492e+00,0
-7.785310149192810059e-01,-8.508639931678771973e-01,3.783968925476074219e+00,0
2.854669988155364990e-01,-8.686299920082092285e-01,3.862977981567382812e+00,0
-8.446660041809082031e-01,-8.694930076599121094e-01,3.876343011856079102e+00,0
2.903110086917877197e-01,-8.682150244712829590e-01,3.870642900466918945e+00,0
-9.066320061683654785e-01,-8.990589976310729980e-01,4.018046855926513672e+00,0
-8.695629835128784180e-01,-8.795329928398132324e-01,3.930783987045288086e+00,0
3.001120090484619141e-01,-8.696820139884948730e-01,3.886759042739868164e+00,0
-9.077849984169006348e-01,-8.957560062408447266e-01,4.023157119750976562e+00,0
-8.577389717102050781e-01,-8.698059916496276855e-01,3.906610012054443359e+00,0
-8.391029834747314453e-01,-8.617550134658813477e-01,3.870445966720581055e+00,0
-7.698910236358642578e-01,-8.399189710617065430e-01,3.772372961044311523e+00,0
3.054859936237335205e-01,-8.684499859809875488e-01,3.900516986846923828e+00,0
3.299280107021331787e-01,-8.819280266761779785e-01,3.961050987243652344e+00,0
-7.485449910163879395e-01,-8.349530100822448730e-01,3.759402036666870117e+00,0
2.681280076503753662e-01,-8.571280241012573242e-01,3.859244108200073242e+00,0
-7.840139865875244141e-01,-8.397120237350463867e-01,3.790257930755615234e+00,0
-7.784910202026367188e-01,-8.382750153541564941e-01,3.783772945404052734e+00,0
3.391839861869812012e-01,-8.845599889755249023e-01,3.992693901062011719e+00,0
-8.684750199317932129e-01,-8.697590231895446777e-01,3.935698032379150391e+00,0
-7.438520193099975586e-01,-8.278880119323730469e-01,3.746233940124511719e+00,0
3.166880011558532715e-01,-8.690639734268188477e-01,3.932553052902221680e+00,0
-8.739550113677978516e-01,-8.686929941177368164e-01,3.950634002685546875e+00,0
-8.028609752655029297e-01,-8.399980068206787109e-01,3.820132017135620117e+00,0
2.598499953746795654e-01,-8.425040245056152344e-01,3.831532001495361328e+00,0
